Total_Capex,Total_Revenue,WACC,Weight_Cap,Weight_Env,Weight_Grid,Weight_Social,Max_Penetration,Timestamp,Sim_ID,Hora,Preco_LMP,Carga_Total,PV_Total,Wind_Total,Bess_Discharge,Bess_Charge,Bess_SoC_Pct,DER_Injecao_Liq,Rev_Energia,Rev_Social,Rev_Grid
1307252.3727,4422.8783,0.0200,0.2500,0.7500,1.0000,1.0000,0.5000,2026-01-29 22:50:20,20260129_225020,23,0.0235,342.4963,0.0000,441.3923,0.0000,101.1014,50.0000,340.2909,31.1049,79.9343,103.6831
1307252.3727,4749.2991,0.0200,0.2500,1.0000,1.0000,1.0000,0.5000,2026-01-29 22:51:11,20260129_225111,0,0.0223,363.9543,0.0000,214.9270,0.0000,0.0000,50.0000,214.9270,14.3528,47.8428,47.8428
1307252.3727,4749.2991,0.0200,0.2500,1.0000,1.0000,1.0000,0.5000,2026-01-29 22:51:11,20260129_225111,1,0.0222,364.0527,0.0000,151.4644,0.0000,0.0000,50.0000,151.4644,10.0694,33.5645,33.5645
1307252.3727,4749.2991,0.0200,0.2500,1.0000,1.0000,1.0000,0.5000,2026-01-29 22:51:11,20260129_225111,2,0.0221,365.1441,0.0000,467.3224,0.0000,100.2803,58.3806,367.0421,30.9554,81.0429,103.1848
1307252.3727,4749.2991,0.0200,0.2500,1.0000,1.0000,1.0000,0.5000,2026-01-29 22:51:11,20260129_225111,3,0.0215,367.4733,0.0000,295.7426,0.0000,0.0000,58.3806,295.7426,19.1109,63.7030,63.7030
1307252.3727,4749.2991,0.0200,0.2500,1.0000,1.0000,1.0000,0.5000,2026-01-29 22:51:11,20260129_225111,4,0.0219,388.6418,0.0000,41.5547,0.0000,0.0000,58.3806,41.5547,2.7264,9.0880,9.0880
1307252.3727,4749.2991,0.0200,0.2500,1.0000,1.0000,1.0000,0.5000,2026-01-29 22:51:11,20260129_225111,5,0.0220,427.9104,0.0000,274.7562,0.0000,0.0000,58.3806,274.7562,18.1092,60.3639,60.3639
1307252.3727,4749.2991,0.0200,0.2500,1.0000,1.0000,1.0000,0.5000,2026-01-29 22:51:11,20260129_225111,6,0.0227,447.9312,0.0000,52.2431,0.0000,0.0000,58.3806,52.2431,3.5609,11.8696,11.8696
1307252.3727,4749.2991,0.0200,0.2500,1.0000,1.0000,1.0000,0.5000,2026-01-29 22:51:11,20260129_225111,7,0.0228,472.8619,0.0000,456.8044,0.0000,0.0000,58.3806,456.8044,31.2180,104.0600,104.0600
1307252.3727,4749.2991,0.0200,0.2500,1.0000,1.0000,1.0000,0.5000,2026-01-29 22:51:11,20260129_225111,8,0.0234,494.9731,7.4706,520.5424,0.0000,33.7624,61.2022,494.2506,37.1140,115.8029,123.7134
1307252.3727,4749.2991,0.0200,0.2500,1.0000,1.0000,1.0000,0.5000,2026-01-29 22:51:11,20260129_225111,9,0.0232,509.9583,33.2093,145.5705,0.0000,0.0000,61.2022,178.7798,12.4484,41.4948,41.4948
1307252.3727,4749.2991,0.0200,0.2500,1.0000,1.0000,1.0000,0.5000,2026-01-29 22:51:11,20260129_225111,10,0.0253,491.5063,44.1892,127.1793,0.0000,0.0000,61.2022,171.3685,13.0274,43.4248,43.4248
1307252.3727,4749.2991,0.0200,0.2500,1.0000,1.0000,1.0000,0.5000,2026-01-29 22:51:11,20260129_225111,11,0.0274,489.0550,186.2509,89.3967,0.0000,0.0000,61.2022,275.6476,22.6252,75.4172,75.4172
1307252.3727,4749.2991,0.0200,0.2500,1.0000,1.0000,1.0000,0.5000,2026-01-29 22:51:11,20260129_225111,12,0.0283,486.0286,228.3630,212.7317,0.0000,0.0000,61.2022,441.0947,37.4225,124.7416,124.7416
1307252.3727,4749.2991,0.0200,0.2500,1.0000,1.0000,1.0000,0.5000,2026-01-29 22:51:11,20260129_225111,13,0.0235,496.8087,57.6292,181.3812,0.0000,0.0000,61.2022,239.0105,16.8359,56.1197,56.1197
1307252.3727,4749.2991,0.0200,0.2500,1.0000,1.0000,1.0000,0.5000,2026-01-29 22:51:11,20260129_225111,14,0.0226,512.3589,96.9748,53.7742,0.0000,0.0000,61.2022,150.7490,10.2434,34.1446,34.1446
1307252.3727,4749.2991,0.0200,0.2500,1.0000,1.0000,1.0000,0.5000,2026-01-29 22:51:11,20260129_225111,15,0.0242,561.7533,33.5671,267.1255,0.0000,0.0000,61.2022,300.6925,21.7942,72.6473,72.6473
1307252.3727,4749.2991,0.0200,0.2500,1.0000,1.0000,1.0000,0.5000,2026-01-29 22:51:11,20260129_225111,16,0.0267,550.4712,7.5184,92.4127,0.0000,0.0000,61.2022,99.9310,7.9925,26.6416,26.6416
1307252.3727,4749.2991,0.0200,0.2500,1.0000,1.0000,1.0000,0.5000,2026-01-29 22:51:11,20260129_225111,17,0.0478,529.9730,0.0000,48.2309,212.2175,0.0000,41.5507,260.4485,37.3561,124.5204,124.5204
1307252.3727,4749.2991,0.0200,0.2500,1.0000,1.0000,1.0000,0.5000,2026-01-29 22:51:11,20260129_225111,18,0.0256,513.9156,0.0000,25.2838,0.0000,0.0000,41.5507,25.2838,1.9410,6.4701,6.4701
1307252.3727,4749.2991,0.0200,0.2500,1.0000,1.0000,1.0000,0.5000,2026-01-29 22:51:11,20260129_225111,19,0.0206,492.1451,0.0000,30.6120,0.0000,0.0000,41.5507,30.6120,1.8964,6.3214,6.3214
1307252.3727,4749.2991,0.0200,0.2500,1.0000,1.0000,1.0000,0.5000,2026-01-29 22:51:11,20260129_225111,20,0.0232,459.3439,0.0000,148.0627,0.0000,0.0000,41.5507,148.0627,10.3229,34.4098,34.4098
1307252.3727,4749.2991,0.0200,0.2500,1.0000,1.0000,1.0000,0.5000,2026-01-29 22:51:11,20260129_225111,21,0.0254,385.4374,0.0000,332.3890,0.0000,0.0000,41.5507,332.3890,25.2981,84.3271,84.3271
1307252.3727,4749.2991,0.0200,0.2500,1.0000,1.0000,1.0000,0.5000,2026-01-29 22:51:11,20260129_225111,22,0.0240,354.1722,0.0000,64.1021,0.0000,0.0000,41.5507,64.1021,4.6173,15.3909,15.3909
1307252.3727,4749.2991,0.0200,0.2500,1.0000,1.0000,1.0000,0.5000,2026-01-29 22:51:11,20260129_225111,23,0.0235,342.4963,0.0000,441.3923,0.0000,101.1014,50.0000,340.2909,31.1049,79.9343,103.6831
1307252.3727,2416.6934,0.0200,0.5000,0.0000,1.0000,0.0000,0.5000,2026-01-29 22:52:22,20260129_225222,0,0.0223,363.9543,0.0000,214.9270,0.0000,0.0000,50.0000,214.9270,14.3528,0.0000,47.8428
1307252.3727,2416.6934,0.0200,0.5000,0.0000,1.0000,0.0000,0.5000,2026-01-29 22:52:22,20260129_225222,1,0.0222,364.0527,0.0000,151.4644,0.0000,0.0000,50.0000,151.4644,10.0694,0.0000,33.5645
1307252.3727,2416.6934,0.0200,0.5000,0.0000,1.0000,0.0000,0.5000,2026-01-29 22:52:22,20260129_225222,2,0.0221,365.1441,0.0000,467.3224,0.0000,100.2803,58.3806,367.0421,30.9554,0.0000,103.1848
1307252.3727,2416.6934,0.0200,0.5000,0.0000,1.0000,0.0000,0.5000,2026-01-29 22:52:22,20260129_225222,3,0.0215,367.4733,0.0000,295.7426,0.0000,0.0000,58.3806,295.7426,19.1109,0.0000,63.7030
1307252.3727,2416.6934,0.0200,0.5000,0.0000,1.0000,0.0000,0.5000,2026-01-29 22:52:22,20260129_225222,4,0.0219,388.6418,0.0000,41.5547,0.0000,0.0000,58.3806,41.5547,2.7264,0.0000,9.0880
1307252.3727,2416.6934,0.0200,0.5000,0.0000,1.0000,0.0000,0.5000,2026-01-29 22:52:22,20260129_225222,5,0.0220,427.9104,0.0000,274.7562,0.0000,0.0000,58.3806,274.7562,18.1092,0.0000,60.3639
1307252.3727,2416.6934,0.0200,0.5000,0.0000,1.0000,0.0000,0.5000,2026-01-29 22:52:22,20260129_225222,6,0.0227,447.9312,0.0000,52.2431,0.0000,0.0000,58.3806,52.2431,3.5609,0.0000,11.8696
1307252.3727,2416.6934,0.0200,0.5000,0.0000,1.0000,0.0000,0.5000,2026-01-29 22:52:22,20260129_225222,7,0.0228,472.8619,0.0000,456.8044,0.0000,0.0000,58.3806,456.8044,31.2180,0.0000,104.0600
1307252.3727,2416.6934,0.0200,0.5000,0.0000,1.0000,0.0000,0.5000,2026-01-29 22:52:22,20260129_225222,8,0.0234,494.9731,7.4706,520.5424,0.0000,33.7624,61.2022,494.2506,37.1140,0.0000,123.7134
1307252.3727,2416.6934,0.0200,0.5000,0.0000,1.0000,0.0000,0.5000,2026-01-29 22:52:22,20260129_225222,9,0.0232,509.9583,33.2093,145.5705,0.0000,0.0000,61.2022,178.7798,12.4484,0.0000,41.4948
1307252.3727,2416.6934,0.0200,0.5000,0.0000,1.0000,0.0000,0.5000,2026-01-29 22:52:22,20260129_225222,10,0.0253,491.5063,44.1892,127.1793,0.0000,0.0000,61.2022,171.3685,13.0274,0.0000,43.4248
1307252.3727,2416.6934,0.0200,0.5000,0.0000,1.0000,0.0000,0.5000,2026-01-29 22:52:22,20260129_225222,11,0.0274,489.0550,186.2509,89.3967,0.0000,0.0000,61.2022,275.6476,22.6252,0.0000,75.4172
1307252.3727,2416.6934,0.0200,0.5000,0.0000,1.0000,0.0000,0.5000,2026-01-29 22:52:22,20260129_225222,12,0.0283,486.0286,228.3630,212.7317,0.0000,0.0000,61.2022,441.0947,37.4225,0.0000,124.7416
1307252.3727,2416.6934,0.0200,0.5000,0.0000,1.0000,0.0000,0.5000,2026-01-29 22:52:22,20260129_225222,13,0.0235,496.8087,57.6292,181.3812,0.0000,0.0000,61.2022,239.0105,16.8359,0.0000,56.1197
1307252.3727,2416.6934,0.0200,0.5000,0.0000,1.0000,0.0000,0.5000,2026-01-29 22:52:22,20260129_225222,14,0.0226,512.3589,96.9748,53.7742,0.0000,0.0000,61.2022,150.7490,10.2434,0.0000,34.1446
1307252.3727,2416.6934,0.0200,0.5000,0.0000,1.0000,0.0000,0.5000,2026-01-29 22:52:22,20260129_225222,15,0.0242,561.7533,33.5671,267.1255,0.0000,0.0000,61.2022,300.6925,21.7942,0.0000,72.6473
1307252.3727,2416.6934,0.0200,0.5000,0.0000,1.0000,0.0000,0.5000,2026-01-29 22:52:22,20260129_225222,16,0.0267,550.4712,7.5184,92.4127,0.0000,0.0000,61.2022,99.9310,7.9925,0.0000,26.6416
1307252.3727,2416.6934,0.0200,0.5000,0.0000,1.0000,0.0000,0.5000,2026-01-29 22:52:22,20260129_225222,17,0.0478,529.9730,0.0000,48.2309,212.2175,0.0000,41.5507,260.4485,37.3561,0.0000,124.5204
1307252.3727,2416.6934,0.0200,0.5000,0.0000,1.0000,0.0000,0.5000,2026-01-29 22:52:22,20260129_225222,18,0.0256,513.9156,0.0000,25.2838,0.0000,0.0000,41.5507,25.2838,1.9410,0.0000,6.4701
1307252.3727,2416.6934,0.0200,0.5000,0.0000,1.0000,0.0000,0.5000,2026-01-29 22:52:22,20260129_225222,19,0.0206,492.1451,0.0000,30.6120,0.0000,0.0000,41.5507,30.6120,1.8964,0.0000,6.3214
1307252.3727,2416.6934,0.0200,0.5000,0.0000,1.0000,0.0000,0.5000,2026-01-29 22:52:22,20260129_225222,20,0.0232,459.3439,0.0000,148.0627,0.0000,0.0000,41.5507,148.0627,10.3229,0.0000,34.4098
1307252.3727,2416.6934,0.0200,0.5000,0.0000,1.0000,0.0000,0.5000,2026-01-29 22:52:22,20260129_225222,21,0.0254,385.4374,0.0000,332.3890,0.0000,0.0000,41.5507,332.3890,25.2981,0.0000,84.3271
1307252.3727,2416.6934,0.0200,0.5000,0.0000,1.0000,0.0000,0.5000,2026-01-29 22:52:22,20260129_225222,22,0.0240,354.1722,0.0000,64.1021,0.0000,0.0000,41.5507,64.1021,4.6173,0.0000,15.3909
1307252.3727,2416.6934,0.0200,0.5000,0.0000,1.0000,0.0000,0.5000,2026-01-29 22:52:22,20260129_225222,23,0.0235,342.4963,0.0000,441.3923,0.0000,101.1014,50.0000,340.2909,31.1049,0.0000,103.6831
1307252.3727,2743.1142,0.0200,0.5000,0.2500,1.0000,0.0000,0.5000,2026-01-29 23:22:48,20260129_232248,0,0.0223,363.9543,0.0000,214.9270,0.0000,0.0000,50.0000,214.9270,14.3528,0.0000,47.8428
